	frame	subF	1stSym	symbol#	cellId	rnti	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	34	0	5	1	1	6	768	16	0	9.51707	 	0	9.18273e-06
DL	34	0	6	1	1	7	191	6	0	2.42259	 	0	0
DL	34	0	7	1	1	8	1776	28	0	44.8716	 	0	0
DL	34	0	8	1	1	9	1776	28	0	34.7955	 	0	0
DL	34	0	9	1	1	10	1776	28	0	46.6112	 	0	0
DL	34	0	10	1	1	11	1640	26	0	23.6758	 	0	4.19949e-06
DL	34	0	11	1	1	12	68	2	0	-3.6382	 	0	7.30222e-10
DL	34	0	12	1	1	13	1776	28	0	27.5196	 	0	0
DL	34	0	13	1	1	14	1776	28	0	39.004	 	0	0
DL	34	0	14	1	1	15	768	16	0	9.9713	 	0	0
DL	34	0	15	1	1	16	1776	28	0	48.7874	 	0	0
DL	34	0	16	1	1	17	1776	28	0	53.792	 	0	0
DL	34	0	17	1	1	18	1254	22	0	16.4924	 	0	0.080174
DL	34	0	18	1	1	19	619	14	0	8.44648	 	0	0
DL	34	0	19	1	1	20	282	8	0	4.66951	 	0	1.15685e-13
DL	34	0	20	1	1	21	1776	28	0	38.4111	 	0	0
DL	34	0	21	1	1	22	1776	28	0	39.617	 	0	0
DL	34	0	22	1	1	23	385	10	0	5.37086	 	0	6.18047e-11
DL	34	0	23	1	1	24	1776	28	0	51.8983	 	0	0
DL	34	0	24	1	1	25	191	6	0	0.528364	 	0	6.80123e-05
DL	34	0	25	1	1	26	282	8	0	2.48635	 	0	0.026281
DL	34	0	26	1	1	27	865	18	0	14.0575	 	0	0
DL	34	1	1	1	1	2	385	10	0	5.00435	 	0	0.000116057
DL	34	1	2	1	1	3	1254	22	0	17.9918	 	0	0
DL	34	1	3	1	1	4	1776	28	0	49.0734	 	0	0
DL	34	1	4	1	1	5	1449	24	0	20.5184	 	0	4.15223e-14
DL	34	1	5	1	1	6	768	16	0	9.51707	 	0	9.18273e-06
DL	34	1	6	1	1	7	191	6	0	2.42259	 	0	0
DL	34	1	7	1	1	8	1776	28	0	44.8716	 	0	0
DL	34	1	8	1	1	9	1776	28	0	34.7955	 	0	0
DL	34	1	9	1	1	10	1776	28	0	46.6112	 	0	0
DL	34	1	10	1	1	11	1640	26	0	23.6758	 	0	4.19949e-06
DL	34	1	11	1	1	12	68	2	0	-3.6382	 	0	7.30222e-10
DL	34	1	12	1	1	13	1776	28	0	27.5196	 	0	0
DL	34	1	13	1	1	14	1776	28	0	39.004	 	0	0
DL	34	1	14	1	1	15	768	16	0	9.9713	 	0	0
DL	34	1	15	1	1	16	1776	28	0	48.7874	 	0	0
DL	34	1	16	1	1	17	1776	28	0	53.792	 	0	0
DL	34	1	17	1	1	18	1254	22	0	16.4924	 	0	0.080174
